分数,本段人数,累计人数
679以上,33,33
678,2,35
677,6,41
676,6,47
675,14,61
674,7,68
673,5,73
672,7,80
671,9,89
670,8,97
669,10,107
668,3,110
667,11,121
666,9,130
665,7,137
664,8,145
663,14,159
662,15,174
661,21,195
660,11,206
659,16,222
658,19,241
657,19,260
656,15,275
655,16,291
654,17,308
653,21,329
652,33,362
651,22,384
650,20,404
649,19,423
648,16,439
647,18,457
646,29,486
645,27,513
644,21,534
643,38,572
642,31,603
641,33,636
640,38,674
639,35,709
638,38,747
637,40,787
636,31,818
635,29,847
634,36,883
633,48,931
632,34,965
631,42,1007
630,40,1047
629,42,1089
628,36,1125
627,38,1163
626,40,1203
625,41,1244
624,46,1290
623,46,1336
622,45,1381
621,46,1427
620,51,1478
619,59,1537
618,59,1596
617,53,1649
616,49,1698
615,53,1751
614,54,1805
613,52,1857
612,61,1918
611,51,1969
610,60,2029
609,70,2099
608,62,2161
607,66,2227
606,42,2269
605,79,2348
604,74,2422
603,79,2501
602,66,2567
601,67,2634
600,69,2703
599,81,2784
598,59,2843
597,79,2922
596,82,3004
595,81,3085
594,63,3148
593,78,3226
592,72,3298
591,78,3376
590,78,3454
589,81,3535
588,80,3615
587,95,3710
586,93,3803
585,94,3897
584,89,3986
583,94,4080
582,105,4185
581,87,4272
580,92,4364
579,102,4466
578,91,4557
577,91,4648
576,101,4749
575,127,4876
574,97,4973
573,106,5079
572,112,5191
571,103,5294
570,106,5400
569,94,5494
568,80,5574
567,99,5673
566,103,5776
565,97,5873
564,108,5981
563,114,6095
562,109,6204
561,115,6319
560,126,6445
559,104,6549
558,125,6674
557,117,6791
556,125,6916
555,116,7032
554,129,7161
553,111,7272
552,103,7375
551,111,7486
550,149,7635
549,119,7754
548,143,7897
547,134,8031
546,154,8185
545,124,8309
544,136,8445
543,123,8568
542,144,8712
541,136,8848
540,131,8979
539,130,9109
538,156,9265
537,136,9401
536,139,9540
535,129,9669
534,159,9828
533,129,9957
532,138,10095
531,151,10246
530,149,10395
529,158,10553
528,157,10710
527,130,10840
526,138,10978
525,149,11127
524,141,11268
523,158,11426
522,154,11580
521,162,11742
520,166,11908
519,179,12087
518,164,12251
517,158,12409
516,160,12569
515,188,12757
514,160,12917
513,162,13079
512,166,13245
511,170,13415
510,178,13593
509,167,13760
508,156,13916
507,196,14112
506,180,14292
505,179,14471
504,185,14656
503,189,14845
502,200,15045
501,185,15230
500,176,15406
499,180,15586
498,168,15754
497,181,15935
496,195,16130
495,165,16295
494,183,16478
493,185,16663
492,213,16876
491,190,17066
490,193,17259
489,185,17444
488,206,17650
487,180,17830
486,201,18031
485,192,18223
484,199,18422
483,213,18635
