分数,本段人数,累计人数
710以上,12,12
709,2,14
707,5,19
706,4,23
705,5,28
704,3,31
703,2,33
702,3,36
701,10,46
700,7,53
699,7,60
698,3,63
697,11,74
696,9,83
695,8,91
694,9,100
693,6,106
692,7,113
691,13,126
690,14,140
689,12,152
688,22,174
687,15,189
686,13,202
685,17,219
684,12,231
683,23,254
682,17,271
681,20,291
680,21,312
679,22,334
678,25,359
677,24,383
676,26,409
675,29,438
674,35,473
673,32,505
672,29,534
671,32,566
670,23,589
669,35,624
668,38,662
667,27,689
666,27,716
665,41,757
664,25,782
663,42,824
662,37,861
661,36,897
660,44,941
659,45,986
658,50,1036
657,41,1077
656,49,1126
655,58,1184
654,52,1236
653,65,1301
652,49,1350
651,55,1405
650,71,1476
649,50,1526
648,58,1584
647,62,1646
646,58,1704
645,57,1761
644,57,1818
643,67,1885
642,63,1948
641,77,2025
640,72,2097
639,82,2179
638,80,2259
637,73,2332
636,76,2408
635,85,2493
634,87,2580
633,88,2668
632,72,2740
631,92,2832
630,81,2913
629,71,2984
628,84,3068
627,82,3150
626,90,3240
625,84,3324
624,81,3405
623,110,3515
622,100,3615
621,105,3720
620,107,3827
619,90,3917
618,99,4016
617,100,4116
616,67,4183
615,89,4272
614,94,4366
613,105,4471
612,114,4585
611,107,4692
610,140,4832
609,97,4929
608,121,5050
607,96,5146
606,109,5255
605,124,5379
604,116,5495
603,132,5627
602,113,5740
601,132,5872
600,133,6005
599,113,6118
598,127,6245
597,141,6386
596,131,6517
595,139,6656
594,140,6796
593,143,6939
592,140,7079
591,149,7228
590,157,7385
589,142,7527
588,166,7693
587,138,7831
586,157,7988
585,179,8167
584,143,8310
583,166,8476
582,163,8639
581,154,8793
580,144,8937
579,158,9095
578,186,9281
577,144,9425
576,160,9585
575,168,9753
574,148,9901
573,170,10071
572,162,10233
571,159,10392
570,174,10566
569,172,10738
568,174,10912
567,164,11076
566,193,11269
565,177,11446
564,208,11654
563,160,11814
562,178,11992
561,166,12158
560,195,12353
559,193,12546
558,199,12745
557,200,12945
556,193,13138
555,187,13325
554,184,13509
553,170,13679
552,224,13903
551,226,14129
550,204,14333
549,183,14516
548,190,14706
547,193,14899
546,218,15117
545,199,15316
544,211,15527
543,205,15732
542,222,15954
541,193,16147
540,207,16354
539,201,16555
538,218,16773
537,223,16996
536,227,17223
535,236,17459
534,213,17672
533,223,17895
532,232,18127
531,225,18352
530,225,18577
529,236,18813
528,235,19048
527,210,19258
526,229,19487
525,211,19698
524,231,19929
523,234,20163
522,206,20369
521,270,20639
520,268,20907
519,253,21160
518,263,21423
517,227,21650
516,246,21896
515,279,22175
514,241,22416
513,237,22653
512,248,22901
511,243,23144
510,272,23416
509,233,23649
508,263,23912
507,269,24181
506,256,24437
505,258,24695
504,255,24950
503,241,25191
502,271,25462
501,256,25718
500,265,25983
499,276,26259
498,267,26526
497,266,26792
496,271,27063
495,273,27336
494,302,27638
493,262,27900
492,272,28172
491,259,28431
490,278,28709
489,267,28976
488,298,29274
487,243,29517
486,271,29788
485,303,30091
484,286,30377
483,285,30662
482,295,30957
481,318,31275
480,295,31570
479,324,31894
478,311,32205
477,319,32524
476,314,32838
475,303,33141
474,303,33444
473,297,33741
472,286,34027
471,318,34345
470,290,34635
469,301,34936
468,310,35246
467,300,35546
466,322,35868
465,294,36162
464,275,36437
463,318,36755
462,274,37029
461,289,37318
460,299,37617
