分数,本段人数,累计人数
695以上,10,10
694,1,11
693,4,15
692,4,19
691,3,22
690,3,25
689,4,29
688,5,34
687,2,36
686,5,41
685,4,45
684,1,46
683,2,48
682,4,52
681,6,58
680,2,60
679,2,62
678,6,68
677,4,72
676,4,76
675,4,80
674,10,90
673,12,102
672,16,118
671,9,127
670,7,134
669,10,144
668,4,148
667,3,151
666,11,162
665,16,178
664,14,192
663,17,209
662,7,216
661,12,228
660,14,242
659,27,269
658,16,285
657,19,304
656,16,320
655,17,337
654,13,350
653,11,361
652,25,386
651,27,413
650,23,436
649,18,454
648,30,484
647,24,508
646,34,542
645,23,565
644,22,587
643,26,613
642,26,639
641,18,657
640,25,682
639,37,719
638,24,743
637,26,769
636,30,799
635,32,831
634,33,864
633,30,894
632,36,930
631,35,965
630,40,1005
629,28,1033
628,46,1079
627,31,1110
626,30,1140
625,38,1178
624,49,1227
623,29,1256
622,38,1294
621,48,1342
620,45,1387
619,43,1430
618,55,1485
617,44,1529
616,47,1576
615,44,1620
614,62,1682
613,55,1737
612,61,1798
611,54,1852
610,57,1909
609,53,1962
608,62,2024
607,55,2079
606,63,2142
605,66,2208
604,60,2268
603,63,2331
602,91,2422
601,78,2500
600,62,2562
599,62,2624
598,79,2703
597,75,2778
596,86,2864
595,79,2943
594,88,3031
593,84,3115
592,74,3189
591,89,3278
590,80,3358
589,79,3437
588,78,3515
587,87,3602
586,87,3689
585,81,3770
584,90,3860
583,100,3960
582,84,4044
581,101,4145
580,96,4241
579,93,4334
578,117,4451
577,85,4536
576,121,4657
575,92,4749
574,105,4854
573,103,4957
572,98,5055
571,109,5164
570,131,5295
569,111,5406
568,121,5527
567,112,5639
566,110,5749
565,126,5875
564,125,6000
563,155,6155
562,111,6266
561,125,6391
560,131,6522
559,125,6647
558,117,6764
557,137,6901
556,154,7055
555,120,7175
554,133,7308
553,127,7435
552,129,7564
551,156,7720
550,146,7866
549,147,8013
548,137,8150
547,149,8299
546,143,8442
545,134,8576
544,156,8732
543,140,8872
542,136,9008
541,158,9166
540,147,9313
