分数,本段人数,累计人数
694及以上,34,34
693,5,39
692,10,49
691,5,54
690,7,61
689,1,62
688,6,68
687,10,78
686,3,81
685,6,87
684,12,99
683,6,105
682,15,120
681,9,129
680,10,139
679,13,152
678,10,162
677,16,178
676,12,190
675,12,202
674,12,214
673,16,230
672,18,248
671,21,269
670,16,285
669,24,309
668,20,329
667,26,355
666,24,379
665,26,405
664,24,429
663,25,454
662,30,484
661,29,513
660,35,548
659,44,592
658,30,622
657,38,660
656,41,701
655,31,732
654,29,761
653,52,813
652,48,861
651,41,902
650,51,953
649,44,997
648,62,1059
647,43,1102
646,53,1155
645,35,1190
644,65,1255
643,53,1308
642,53,1361
641,56,1417
640,76,1493
639,82,1575
638,75,1650
637,72,1722
636,82,1804
635,71,1875
634,75,1950
633,77,2027
632,81,2108
631,74,2182
630,95,2277
629,88,2365
628,81,2446
627,98,2544
626,97,2641
625,111,2752
624,92,2844
623,99,2943
622,101,3044
621,123,3167
620,137,3304
619,113,3417
618,120,3537
617,116,3653
616,106,3759
615,129,3888
614,142,4030
613,121,4151
612,128,4279
611,134,4413
610,135,4548
609,111,4659
608,132,4791
607,134,4925
606,155,5080
605,126,5206
604,156,5362
603,155,5517
602,152,5669
601,174,5843
600,154,5997
599,162,6159
598,185,6344
597,157,6501
596,150,6651
595,171,6822
594,161,6983
593,198,7181
592,164,7345
591,186,7531
590,181,7712
589,190,7902
588,179,8081
587,204,8285
586,212,8497
585,192,8689
584,204,8893
583,221,9114
582,220,9334
581,175,9509
580,212,9721
579,194,9915
578,242,10157
577,190,10347
576,218,10565
575,207,10772
574,211,10983
573,217,11200
572,198,11398
571,200,11598
570,230,11828
569,238,12066
568,224,12290
567,220,12510
566,213,12723
565,254,12977
564,250,13227
563,244,13471
562,245,13716
561,261,13977
560,229,14206
559,267,14473
558,266,14739
557,259,14998
556,252,15250
555,253,15503
554,256,15759
553,265,16024
552,274,16298
551,268,16566
550,240,16806
549,234,17040
548,266,17306
547,266,17572
546,264,17836
545,270,18106
544,291,18397
543,276,18673
542,298,18971
541,285,19256
540,251,19507
539,278,19785
538,267,20052
537,288,20340
536,298,20638
535,282,20920
534,318,21238
533,259,21497
532,300,21797
531,333,22130
530,312,22442
529,293,22735
528,301,23036
527,322,23358
526,336,23694
525,308,24002
524,319,24321
523,285,24606
522,314,24920
521,344,25264
520,316,25580
519,311,25891
518,292,26183
517,344,26527
516,327,26854
515,318,27172
514,313,27485
513,345,27830
512,327,28157
511,336,28493
510,321,28814
509,336,29150
508,332,29482
507,346,29828
506,315,30143
505,335,30478
504,337,30815
503,346,31161
502,334,31495
501,355,31850
500,353,32203
499,332,32535
498,344,32879
497,355,33234
496,322,33556
495,327,33883
494,351,34234
493,333,34567
492,353,34920
491,375,35295
490,325,35620
489,343,35963
488,359,36322
487,363,36685
486,316,37001
485,359,37360
484,352,37712
483,348,38060
482,342,38402
481,355,38757
480,350,39107
479,356,39463
478,360,39823
477,370,40193
476,369,40562
475,349,40911
474,355,41266
473,329,41595
472,332,41927
471,343,42270
470,386,42656
469,355,43011
468,415,43426
467,358,43784
466,347,44131
465,369,44500
464,371,44871
463,360,45231
462,384,45615
461,365,45980
460,365,46345
459,340,46685
458,382,47067
457,416,47483
456,384,47867
455,368,48235
454,361,48596
453,340,48936
452,377,49313
451,359,49672
450,348,50020
449,374,50394
448,399,50793
447,366,51159
446,349,51508
445,356,51864
444,370,52234
443,405,52639
442,416,53055
441,367,53422
440,405,53827
439,380,54207
438,384,54591
437,379,54970
436,386,55356
435,387,55743
434,405,56148
433,368,56516
432,366,56882
431,391,57273
430,441,57714
429,355,58069
428,388,58457
427,412,58869
426,399,59268
425,441,59709
424,408,60117
423,389,60506
422,364,60870
421,373,61243
420,430,61673
419,419,62092
418,410,62502
417,391,62893
416,405,63298
415,406,63704
414,392,64096
413,374,64470
412,430,64900
411,428,65328
410,389,65717
409,405,66122
408,407,66529
407,409,66938
406,425,67363
405,407,67770
404,393,68163
403,442,68605
402,399,69004
401,369,69373
400,419,69792
399,420,70212
398,393,70605
397,418,71023
396,371,71394
395,405,71799
394,410,72209
393,408,72617
392,377,72994
391,402,73396
390,400,73796
389,421,74217
388,424,74641
387,366,75007
386,350,75357
385,398,75755
384,403,76158
383,382,76540
382,404,76944
381,385,77329
380,414,77743
379,422,78165
378,400,78565
377,382,78947
376,402,79349
375,378,79727
374,354,80081
373,385,80466
372,392,80858
371,379,81237
370,362,81599
369,362,81961
368,387,82348
367,371,82719
366,370,83089
365,396,83485
364,366,83851
363,342,84193
362,401,84594
361,356,84950
360,363,85313
359,356,85669
358,384,86053
357,332,86385
356,361,86746
355,370,87116
354,329,87445
353,354,87799
352,354,88153
351,367,88520
350,347,88867
349,300,89167
348,353,89520
347,366,89886
346,341,90227
345,353,90580
344,327,90907
343,363,91270
342,361,91631
341,318,91949
340,353,92302
339,331,92633
338,330,92963
337,310,93273
336,325,93598
335,345,93943
334,320,94263
333,323,94586
332,306,94892
331,308,95200
330,275,95475
329,334,95809
328,275,96084
327,280,96364
326,298,96662
325,268,96930
324,303,97233
323,269,97502
322,269,97771
321,303,98074
320,287,98361
319,266,98627
318,270,98897
317,283,99180
316,271,99451
315,280,99731
314,273,100004
313,285,100289
312,234,100523
311,261,100784
310,264,101048
309,262,101310
308,250,101560
307,244,101804
306,258,102062
305,241,102303
304,242,102545
303,261,102806
302,252,103058
301,271,103329
300,277,103606
299,233,103839
298,221,104060
297,219,104279
296,248,104527
295,186,104713
294,221,104934
293,224,105158
292,252,105410
291,225,105635
290,197,105832
289,226,106058
288,226,106284
287,210,106494
286,218,106712
285,183,106895
284,221,107116
283,199,107315
282,202,107517
281,169,107686
280,211,107897
279,202,108099
278,194,108293
277,194,108487
276,183,108670
275,188,108858
274,175,109033
273,204,109237
272,152,109389
271,182,109571
270,152,109723
269,170,109893
268,181,110074
267,162,110236
266,182,110418
265,139,110557
264,152,110709
263,161,110870
262,155,111025
261,159,111184
260,160,111344
259,151,111495
258,140,111635
257,169,111804
256,121,111925
255,126,112051
254,136,112187
253,146,112333
252,121,112454
251,128,112582
250,132,112714
249,119,112833
248,126,112959
247,129,113088
246,109,113197
245,132,113329
244,133,113462
243,112,113574
242,95,113669
241,109,113778
240,121,113899
239,99,113998
238,110,114108
237,110,114218
236,84,114302
235,108,114410
234,125,114535
233,107,114642
232,108,114750
231,88,114838
230,89,114927
229,90,115017
228,80,115097
227,88,115185
226,70,115255
225,90,115345
224,75,115420
223,63,115483
222,82,115565
221,69,115634
220,65,115699
219,58,115757
218,77,115834
217,67,115901
216,57,115958
215,64,116022
214,33,116055
213,66,116121
212,58,116179
211,55,116234
210,53,116287
209,52,116339
208,41,116380
207,48,116428
206,39,116467
205,56,116523
204,39,116562
203,45,116607
202,35,116642
201,30,116672
200,39,116711
199,30,116741
198,33,116774
197,29,116803
196,22,116825
195,23,116848
194,28,116876
193,23,116899
192,25,116924
191,17,116941
190,22,116963
189,16,116979
188,23,117002
187,22,117024
186,18,117042
185,17,117059
184,17,117076
183,14,117090
182,17,117107
181,8,117115
180,12,117127
179,17,117144
178,19,117163
177,12,117175
176,8,117183
175,18,117201
174,10,117211
173,13,117224
172,8,117232
171,7,117239
170,10,117249
169,9,117258
168,7,117265
167,4,117269
166,5,117274
165,7,117281
164,4,117285
163,3,117288
162,8,117296
161,4,117300
160,6,117306
159,4,117310
158,3,117313
157,5,117318
156,5,117323
155,8,117331
154,3,117334
153,1,117335
152,1,117336
151,4,117340
150,5,117345
149,4,117349
148,9,117358
147,3,117361
146,3,117364
145,2,117366
144,6,117372
143,7,117379
142,2,117381
141,2,117383
140,6,117389
139,3,117392
138,2,117394
137,1,117395
135,2,117397
133,4,117401
132,1,117402
131,4,117406
130,1,117407
