分数,本段人数,累计人数
705以上,45,45
704,8,53
703,9,62
702,8,70
701,12,82
700,6,88
699,6,94
698,9,103
697,5,108
696,12,120
695,14,134
694,15,149
693,17,166
692,20,186
691,14,200
690,15,215
689,17,232
688,13,245
687,22,267
686,24,291
685,21,312
684,28,340
683,28,368
682,31,399
681,30,429
680,21,450
679,29,479
678,39,518
677,34,552
676,51,603
675,46,649
674,43,692
673,41,733
672,29,762
671,57,819
670,53,872
669,36,908
668,59,967
667,47,1014
666,59,1073
665,51,1124
664,46,1170
663,67,1237
662,64,1301
661,67,1368
660,50,1418
659,63,1481
658,66,1547
657,75,1622
656,81,1703
655,75,1778
654,55,1833
653,70,1903
652,84,1987
651,93,2080
650,71,2151
649,84,2235
648,66,2301
647,78,2379
646,90,2469
645,101,2570
644,97,2667
643,95,2762
642,82,2844
641,93,2937
640,96,3033
639,93,3126
638,97,3223
637,99,3322
636,102,3424
635,105,3529
634,120,3649
633,110,3759
632,134,3893
631,118,4011
630,115,4126
629,120,4246
628,118,4364
627,137,4501
626,130,4631
625,150,4781
624,143,4924
623,138,5062
622,143,5205
621,153,5358
620,136,5494
619,144,5638
618,128,5766
617,148,5914
616,146,6060
615,149,6209
614,148,6357
613,163,6520
612,136,6656
611,171,6827
610,143,6970
609,164,7134
608,173,7307
607,184,7491
606,166,7657
605,184,7841
604,164,8005
603,166,8171
602,186,8357
601,178,8535
600,180,8715
599,187,8902
598,181,9083
597,187,9270
596,185,9455
595,171,9626
594,200,9826
593,220,10046
592,205,10251
591,191,10442
590,201,10643
589,200,10843
588,226,11069
587,202,11271
586,212,11483
585,210,11693
584,192,11885
583,227,12112
582,211,12323
581,204,12527
580,177,12704
579,202,12906
578,184,13090
577,230,13320
576,224,13544
575,207,13751
574,221,13972
573,224,14196
572,223,14419
571,264,14683
570,223,14906
569,246,15152
568,219,15371
567,242,15613
566,226,15839
565,222,16061
564,248,16309
563,252,16561
562,239,16800
561,236,17036
560,205,17241
559,259,17500
558,249,17749
557,259,18008
556,264,18272
555,252,18524
554,288,18812
553,241,19053
552,270,19323
551,216,19539
550,260,19799
549,277,20076
548,281,20357
547,254,20611
546,262,20873
545,295,21168
544,263,21431
543,281,21712
542,285,21997
541,260,22257
540,305,22562
539,259,22821
538,301,23122
537,271,23393
536,284,23677
535,310,23987
534,274,24261
533,275,24536
532,274,24810
531,297,25107
530,289,25396
529,330,25726
528,284,26010
527,271,26281
526,294,26575
525,293,26868
524,310,27178
523,291,27469
522,293,27762
521,305,28067
520,272,28339
519,295,28634
518,297,28931
517,314,29245
516,283,29528
515,299,29827
514,299,30126
513,326,30452
512,330,30782
511,297,31079
510,324,31403
509,317,31720
