分数,本段人数,累计人数
691及以上,3,10
688,5,15
687,3,18
686,2,20
685,7,27
684,1,28
683,5,33
682,4,37
681,2,39
680,6,45
679,9,54
678,12,66
677,12,78
676,11,89
675,21,110
674,10,120
673,16,136
672,14,150
671,20,170
670,21,191
669,26,217
668,15,232
667,16,248
666,26,274
665,20,294
664,30,324
663,35,359
662,22,381
661,42,423
660,42,465
659,40,505
658,33,538
657,41,579
656,49,628
655,45,673
654,51,724
653,37,761
652,36,797
651,47,844
650,54,898
649,52,950
648,57,1007
647,56,1063
646,44,1107
645,67,1174
644,66,1240
643,64,1304
642,77,1381
641,63,1444
640,71,1515
639,68,1583
638,66,1649
637,76,1725
636,73,1798
635,84,1882
634,76,1958
633,94,2052
632,90,2142
631,81,2223
630,93,2316
629,94,2410
628,122,2532
627,92,2624
626,98,2722
625,122,2844
624,103,2947
623,99,3046
622,106,3152
621,105,3257
620,121,3378
619,101,3479
618,112,3591
617,121,3712
616,114,3826
615,110,3936
614,112,4048
613,122,4170
612,117,4287
611,141,4428
610,121,4549
609,137,4686
608,152,4838
607,126,4964
606,138,5102
605,116,5218
604,149,5367
603,129,5496
602,128,5624
601,141,5765
600,146,5911
599,137,6048
598,159,6207
597,161,6368
596,153,6521
595,144,6665
594,137,6802
593,158,6960
592,133,7093
591,151,7244
590,138,7382
589,157,7539
588,172,7711
587,161,7872
586,180,8052
585,155,8207
584,181,8388
583,195,8583
582,154,8737
581,181,8918
580,189,9107
579,169,9276
578,180,9456
577,161,9617
576,185,9802
575,177,9979
574,188,10167
573,171,10338
572,206,10544
571,155,10699
570,180,10879
569,185,11064
568,178,11242
567,185,11427
566,176,11603
565,190,11793
564,206,11999
563,209,12208
562,189,12397
561,215,12612
560,212,12824
559,167,12991
558,218,13209
557,207,13416
556,220,13636
555,216,13852
554,198,14050
553,176,14226
552,188,14414
551,212,14626
550,183,14809
549,204,15013
548,237,15250
547,233,15483
546,222,15705
545,208,15913
544,199,16112
543,238,16350
542,198,16548
541,231,16779
540,230,17009
539,223,17232
538,219,17451
537,251,17702
536,216,17918
535,215,18133
534,248,18381
533,244,18625
532,246,18871
531,226,19097
530,213,19310
529,256,19566
528,242,19808
527,249,20057
526,268,20325
525,257,20582
524,231,20813
523,235,21048
522,246,21294
521,254,21548
520,212,21760
519,255,22015
518,259,22274
517,234,22508
516,242,22750
515,278,23028
514,249,23277
513,258,23535
512,264,23799
511,278,24077
510,250,24327
509,251,24578
508,239,24817
507,231,25048
506,255,25303
505,247,25550
504,298,25848
503,275,26123
502,270,26393
501,278,26671
500,268,26939
499,236,27175
498,263,27438
497,249,27687
496,263,27950
495,274,28224
494,242,28466
493,305,28771
492,270,29041
491,272,29313
490,260,29573
489,266,29839
488,260,30099
487,297,30396
486,262,30658
485,282,30940
484,307,31247
483,247,31494
482,263,31757
481,310,32067
480,271,32338
479,290,32628
478,279,32907
477,299,33206
476,269,33475
475,291,33766
474,273,34039
473,265,34304
472,284,34588
471,289,34877
470,318,35195
469,338,35533
468,304,35837
467,300,36137
466,313,36450
465,297,36747
464,270,37017
463,295,37312
462,297,37609
461,303,37912
460,303,38215
459,308,38523
458,316,38839
457,315,39154
456,299,39453
455,305,39758
454,345,40103
453,286,40389
452,297,40686
451,308,40994
450,269,41263
449,336,41599
448,312,41911
447,313,42224
446,282,42506
445,300,42806
444,313,43119
443,312,43431
442,278,43709
441,300,44009
440,258,44267
439,325,44592
438,299,44891
437,331,45222
436,292,45514
435,314,45828
434,310,46138
433,327,46465
432,318,46783
431,310,47093
430,339,47432
429,349,47781
428,318,48099
427,325,48424
426,326,48750
425,305,49055
424,309,49364
423,318,49682
422,342,50024
421,342,50366
420,310,50676
419,318,50994
418,316,51310
417,310,51620
416,304,51924
415,292,52216
414,328,52544
413,317,52861
412,307,53168
411,266,53434
410,305,53739
409,338,54077
408,331,54408
407,317,54725
406,316,55041
405,327,55368
404,298,55666
403,314,55980
402,300,56280
401,292,56572
400,332,56904
399,309,57213
398,312,57525
397,316,57841
396,350,58191
395,309,58500
394,323,58823
393,292,59115
392,305,59420
391,301,59721
390,327,60048
389,306,60354
388,290,60644
387,325,60969
386,309,61278
385,316,61594
384,320,61914
383,301,62215
382,332,62547
381,302,62849
380,287,63136
379,315,63451
378,292,63743
377,317,64060
376,325,64385
375,283,64668
374,326,64994
373,346,65340
372,317,65657
371,314,65971
370,283,66254
369,328,66582
368,293,66875
367,310,67185
366,310,67495
365,289,67784
364,342,68126
363,304,68430
362,292,68722
361,283,69005
360,279,69284
359,277,69561
358,327,69888
357,280,70168
356,291,70459
355,322,70781
354,281,71062
353,292,71354
352,275,71629
351,284,71913
350,274,72187
349,292,72479
348,249,72728
347,266,72994
346,301,73295
345,286,73581
344,261,73842
343,268,74110
342,303,74413
341,293,74706
340,270,74976
339,295,75271
338,259,75530
337,286,75816
336,265,76081
335,241,76322
334,277,76599
333,279,76878
332,270,77148
331,258,77406
330,270,77676
329,250,77926
328,270,78196
327,268,78464
326,251,78715
325,257,78972
324,275,79247
323,269,79516
322,262,79778
321,251,80029
320,267,80296
319,280,80576
318,230,80806
317,236,81042
316,248,81290
315,282,81572
314,266,81838
313,264,82102
312,238,82340
311,247,82587
310,246,82833
309,241,83074
308,232,83306
307,256,83562
306,248,83810
305,239,84049
304,246,84295
303,266,84561
302,236,84797
301,235,85032
300,211,85243
299,227,85470
298,213,85683
297,208,85891
296,227,86118
295,234,86352
294,259,86611
293,223,86834
292,212,87046
291,244,87290
290,226,87516
289,235,87751
288,220,87971
287,251,88222
286,217,88439
285,229,88668
284,231,88899
283,202,89101
282,229,89330
281,219,89549
280,236,89785
279,218,90003
278,218,90221
277,238,90459
276,210,90669
275,207,90876
274,202,91078
273,217,91295
272,175,91470
271,221,91691
270,229,91920
269,217,92137
268,206,92343
267,214,92557
266,189,92746
265,210,92956
264,207,93163
263,193,93356
262,180,93536
261,222,93758
260,204,93962
259,212,94174
258,186,94360
257,222,94582
256,183,94765
255,164,94929
254,179,95108
253,172,95280
252,202,95482
251,199,95681
250,191,95872
249,184,96056
248,182,96238
247,183,96421
246,178,96599
245,189,96788
244,180,96968
243,167,97135
242,182,97317
241,172,97489
240,169,97658
239,158,97816
238,161,97977
237,155,98132
236,140,98272
235,162,98434
234,176,98610
233,139,98749
232,169,98918
231,153,99071
230,153,99224
229,146,99370
228,174,99544
227,146,99690
226,142,99832
225,139,99971
224,151,100122
223,139,100261
222,138,100399
221,155,100554
220,137,100691
219,129,100820
218,136,100956
217,140,101096
216,138,101234
215,123,101357
214,112,101469
213,125,101594
212,125,101719
211,133,101852
210,137,101989
209,110,102099
208,118,102217
207,95,102312
206,105,102417
205,95,102512
204,105,102617
203,117,102734
202,99,102833
201,96,102929
200,124,103053
199,111,103164
198,115,103279
197,102,103381
196,100,103481
195,87,103568
194,85,103653
193,95,103748
192,76,103824
191,102,103926
190,85,104011
189,84,104095
188,74,104169
187,79,104248
186,75,104323
185,73,104396
184,86,104482
183,87,104569
182,82,104651
181,72,104723
180,70,104793
179,63,104856
178,53,104909
177,70,104979
176,76,105055
175,61,105116
174,64,105180
173,56,105236
172,65,105301
171,59,105360
170,51,105411
169,55,105466
168,62,105528
167,54,105582
166,38,105620
165,43,105663
164,44,105707
163,44,105751
162,43,105794
161,42,105836
160,46,105882
159,44,105926
158,49,105975
157,40,106015
156,40,106055
155,29,106084
154,33,106117
153,40,106157
152,37,106194
151,39,106233
150,24,106257
149,44,106301
148,32,106333
147,29,106362
146,25,106387
145,26,106413
144,21,106434
143,36,106470
142,26,106496
141,28,106524
140,21,106545
139,20,106565
138,27,106592
137,18,106610
136,22,106632
135,24,106656
134,21,106677
133,15,106692
132,16,106708
131,17,106725
130,26,106751
129,18,106769
128,12,106781
127,18,106799
126,19,106818
125,12,106830
124,15,106845
123,9,106854
122,8,106862
121,18,106880
120,12,106892
119,14,106906
118,11,106917
117,9,106926
116,10,106936
115,6,106942
114,9,106951
113,6,106957
112,9,106966
111,10,106976
110,4,106980
109,10,106990
108,8,106998
107,7,107005
106,8,107013
105,10,107023
104,5,107028
103,5,107033
102,5,107038
101,7,107045
100,6,107051
99,9,107060
98,5,107065
97,1,107066
96,3,107069
95,3,107072
94,7,107079
93,4,107083
92,1,107084
91,3,107087
90,3,107090
89,2,107092
88,3,107095
87,5,107100
86,3,107103
85,6,107109
84,5,107114
83,2,107116
82,2,107118
81,3,107121
80,3,107124
79,2,107126
78,2,107128
77,1,107129
75,2,107131
74,1,107132
73,2,107134
72,1,107135
71,1,107136
70,1,107137
69,3,107140
68,3,107143
66,2,107145
64,3,107148
61,1,107149
60,2,107151
59,2,107153
57,1,107154
56,1,107155
54,2,107157
52,1,107158
51,1,107159
49,1,107160
48,1,107161
46,1,107162
42,1,107163
41,1,107164
40,1,107165
34,1,107166
26,1,107167
25,1,107168
22,1,107169
21,1,107170
19,2,107172
17,1,107173
16,2,107175
14,1,107176
13,1,107177
9,1,107178
6,1,107179
3,2,107181
0,1061,108242
