分数,本段人数,累积人数
693,1,1
692,0,1
691,0,1
690,0,1
689,1,2
688,0,2
687,0,2
686,1,3
685,0,3
684,1,4
683,0,4
682,1,5
681,1,6
680,1,7
679,1,8
678,2,10
677,2,12
676,2,14
675,2,16
674,3,19
673,3,22
672,4,26
671,5,31
670,2,33
669,3,36
668,4,40
667,3,43
666,4,47
665,4,51
664,5,56
663,5,61
662,5,66
661,6,72
660,6,78
659,7,85
658,8,93
657,7,100
656,7,107
655,7,114
654,8,122
653,8,130
652,9,139
651,9,148
650,10,158
649,11,169
648,11,180
647,13,193
646,13,206
645,13,219
644,15,234
643,15,249
642,15,264
641,15,279
640,17,296
639,18,314
638,18,332
637,20,352
636,21,373
635,22,395
634,24,419
633,25,444
632,26,470
631,28,498
630,30,528
629,26,554
628,28,582
627,29,611
626,31,642
625,32,674
624,34,708
623,36,744
622,37,781
621,39,820
620,42,862
619,43,905
618,45,950
617,48,998
616,46,1044
615,41,1085
614,43,1128
613,44,1172
612,46,1218
611,48,1266
610,50,1316
609,51,1367
608,54,1421
607,56,1477
606,58,1535
605,61,1596
604,62,1658
603,66,1724
602,67,1791
601,71,1862
600,73,1935
599,70,2005
598,73,2078
597,75,2153
596,77,2230
595,79,2309
594,82,2391
593,84,2475
592,87,2562
591,89,2651
590,92,2743
589,91,2834
588,93,2927
587,97,3024
586,98,3122
585,102,3224
584,104,3328
583,106,3434
582,110,3544
581,113,3657
580,115,3772
579,109,3881
578,111,3992
577,114,4106
576,116,4222
575,119,4341
574,122,4463
573,125,4588
572,128,4716
571,130,4846
570,133,4979
569,129,5108
568,133,5241
567,135,5376
566,137,5513
565,141,5654
564,143,5797
563,146,5943
562,149,6092
561,152,6244
560,155,6399
559,155,6554
558,158,6712
557,161,6873
556,164,7037
555,166,7203
554,170,7373
553,173,7546
552,176,7722
551,180,7902
550,182,8084
549,173,8257
548,175,8432
547,179,8611
546,181,8792
545,184,8976
544,187,9163
543,190,9353
542,193,9546
541,196,9742
540,199,9941
539,209,10150
538,213,10363
537,215,10578
536,219,10797
535,223,11020
534,225,11245
533,229,11474
532,232,11706
531,236,11942
530,239,12181
529,243,12424
528,247,12671
527,250,12921
526,253,13174
525,257,13431
524,261,13692
523,264,13956
522,267,14223
521,271,14494
520,275,14769
519,272,15041
518,275,15316
517,279,15595
516,282,15877
515,286,16163
