分数,本段人数,累积人数
712,0,0
711,0,0
710,0,0
709,1,1
708,0,1
707,1,2
706,1,3
705,2,5
704,1,6
703,1,7
702,1,8
701,1,9
700,1,10
699,2,12
698,2,14
697,2,16
696,3,19
695,4,23
694,3,26
693,4,30
692,4,34
691,5,39
690,6,45
689,5,50
688,6,56
687,7,63
686,7,70
685,8,78
684,11,89
683,13,102
682,14,116
681,17,133
680,19,152
679,14,166
678,16,182
677,17,199
676,19,218
675,20,238
674,19,257
673,21,278
672,23,301
671,24,325
670,27,352
669,25,377
668,26,403
667,29,432
666,30,462
665,33,495
664,31,526
663,33,559
662,35,594
661,37,631
660,39,670
659,45,715
658,48,763
657,51,814
656,54,868
655,58,926
654,54,980
653,58,1038
652,61,1099
651,65,1164
650,68,1232
649,61,1293
648,64,1357
647,67,1424
646,70,1494
645,74,1568
644,76,1644
643,80,1724
642,84,1808
641,88,1896
640,92,1988
639,90,2078
638,95,2173
637,99,2272
636,103,2375
635,108,2483
634,106,2589
633,110,2699
632,115,2814
631,120,2934
630,125,3059
629,118,3177
628,122,3299
627,125,3424
626,130,3554
625,133,3687
624,143,3830
623,147,3977
622,152,4129
621,156,4285
620,161,4446
619,164,4610
618,169,4779
617,174,4953
616,179,5132
615,183,5315
614,176,5491
613,179,5670
612,185,5855
611,189,6044
610,193,6237
609,198,6435
608,203,6638
607,208,6846
606,212,7058
605,217,7275
604,226,7501
603,231,7732
602,236,7968
601,242,8210
600,246,8456
599,247,8703
598,252,8955
597,257,9212
596,263,9475
595,267,9742
594,269,10011
593,274,10285
592,279,10564
591,284,10848
590,289,11137
589,290,11427
588,295,11722
587,300,12022
586,304,12326
585,310,12636
584,309,12945
583,313,13258
582,319,13577
581,323,13900
580,327,14227
579,319,14546
578,322,14868
577,328,15196
576,331,15527
575,335,15862
574,362,16224
573,368,16592
572,371,16963
571,376,17339
570,381,17720
569,362,18082
568,366,18448
567,370,18818
566,373,19191
565,377,19568
564,392,19960
563,396,20356
562,400,20756
561,403,21159
560,407,21566
559,408,21974
558,412,22386
557,415,22801
556,418,23219
555,421,23640
554,409,24049
553,411,24460
552,414,24874
551,417,25291
550,419,25710
549,428,26138
548,431,26569
547,433,27002
546,435,27437
545,437,27874
544,445,28319
543,447,28766
542,449,29215
541,450,29665
540,452,30117
539,465,30582
538,465,31047
537,465,31512
536,465,31977
535,465,32442
534,469,32911
533,469,33380
532,468,33848
531,469,34317
530,469,34786
529,462,35248
528,461,35709
527,462,36171
526,461,36632
525,462,37094
524,465,37559
523,466,38025
522,465,38490
521,466,38956
520,465,39421
519,499,39920
518,500,40420
517,499,40919
516,500,41419
515,499,41918
514,477,42395
513,477,42872
512,477,43349
511,477,43826
510,477,44303
509,481,44784
508,481,45265
507,482,45747
506,481,46228
505,481,46709
504,456,47165
503,456,47621
502,455,48076
501,456,48532
500,456,48988
499,476,49464
498,476,49940
497,476,50416
496,476,50892
495,476,51368
494,470,51838
493,470,52308
492,469,52777
491,470,53247
490,470,53717
489,453,54170
488,454,54624
487,453,55077
486,454,55531
485,453,55984
484,458,56442
483,458,56900
482,458,57358
481,458,57816
480,458,58274
479,441,58715
478,442,59157
477,441,59598
476,442,60040
475,441,60481
474,447,60928
473,447,61375
472,447,61822
471,447,62269
470,447,62716
469,438,63154
468,439,63593
467,438,64031
466,439,64470
465,438,64908
464,413,65321
463,414,65735
462,413,66148
461,414,66562
460,413,66975
459,406,67381
458,406,67787
457,406,68193
456,406,68599
455,406,69005
454,395,69400
453,395,69795
452,395,70190
451,395,70585
450,395,70980
